size,image_quality,1,2,4,8,16,32
14400,160x90,223,418,785,1490,2999,5845
16000,160x100,239,424,795,1514,3024,5972
19200,160x120,206,378,698,1379,2641,5215
43200,240x180,214,397,756,1375,2721,5344
57600,320x180,236,438,819,1542,3100,6013
64000,320x200,247,431,824,2076,3626,6858
76800,320x240,229,402,754,1429,2881,5833
129600,480x270,248,473,879,2177,3230,7164
144000,480x300,257,480,892,1715,3868,6535
172800,480x360,243,470,1320,1567,3221,8983
230400,640x360,277,744,956,1802,3476,6776
256000,640x400,304,522,1742,1819,3593,8359
307200,640x480,280,472,2666,2013,3261,7303
360000,800x450,329,559,1058,1973,3781,7368
400000,800x500,339,604,2198,2434,3946,8590
480000,800x600,338,557,1339,1923,4265,7847
589824,1024x576,332,902,1134,2174,4295,10634
655360,1024x640,378,706,1239,2249,4401,8688
786432,1024x768,398,1218,1195,2245,6080,9605
921600,1280x720,381,1145,2159,3650,7214,12884
1024000,1280x800,422,722,1398,2669,5224,10152
1228800,1280x960,410,1957,2522,3247,7534,13873
1296000,1440x900,947,2409,2037,3277,7879,16325
1555200,1440x1080,2087,1788,2692,4382,9642,18418
2073600,1920x1080,792,995,2297,5787,9347,20604
