size,image_quality,1,2,4,8,16,32
14400,160x90,155,167,245,309,384,506
19200,160x120,158,201,262,324,409,571
25344,176x144,169,226,303,404,538,567
43200,240x180,201,267,350,454,605,846
57600,320x180,242,307,374,479,516,783
76800,320x240,270,344,398,554,767,861
129600,480x270,326,394,494,735,815,1291
172800,480x360,334,422,563,812,907,1507
230400,640x360,361,479,655,793,1126,1821
307200,640x480,382,486,687,955,1436,2250
360000,800x450,413,534,772,968,1521,2732
480000,800x600,428,722,899,1467,1945,3069
655360,1024x640,568,812,1030,1451,2555,4462
786432,1024x768,582,928,1141,1678,2937,5418
921600,1280x720,629,862,1195,1752,3081,5978
1024000,1280x800,686,868,1580,1909,3655,7074
1228800,1280x960,686,913,1594,1675,4087,7629
