size,image_quality,1,2,4,8,16,32
14400,160x90,278,293,415,538,628,699
19200,160x120,278,356,437,527,643,689
25344,176x144,285,359,488,592,648,871
43200,240x180,355,470,566,614,784,1139
57600,320x180,416,516,595,715,940,1045
76800,320x240,451,539,609,747,1067,1238
129600,480x270,521,606,682,882,971,1582
172800,480x360,552,644,714,875,1334,1352
230400,640x360,620,751,736,1049,1223,1992
307200,640x480,601,792,997,1122,1535,2410
360000,800x450,675,796,855,1363,2134,2748
480000,800x600,664,806,1360,1132,2213,3164
655360,1024x640,769,919,1230,1635,3152,3688
786432,1024x768,776,954,1646,1718,2428,4699
921600,1280x720,845,935,1612,1769,3317,5370
1024000,1280x800,811,1105,1601,2371,2889,5413
1228800,1280x960,907,1138,1661,2221,3535,6485
