size,image_quality,1,2,4,8,16,32
14400,160x90,356,427,666,1040,1824,3387
19200,160x120,369,517,743,1155,2202,4185
25344,176x144,388,544,841,1319,2476,5090
43200,240x180,432,619,858,1220,2306,4644
57600,320x180,481,638,834,1208,2166,3776
76800,320x240,542,703,918,1378,2626,4815
129600,480x270,599,744,939,1395,2219,4348
172800,480x360,645,809,1027,1514,2893,4970
230400,640x360,698,889,994,1564,2467,4758
307200,640x480,681,943,1293,1742,3075,5974
360000,800x450,755,937,1121,1889,3377,5550
480000,800x600,759,977,1683,1796,3793,6785
655360,1024x640,855,1074,1523,2225,4568,6843
786432,1024x768,873,1129,1979,2395,4085,8418
921600,1280x720,930,1084,1893,2335,4663,8334
1024000,1280x800,899,1265,1903,2981,4367,8708
1228800,1280x960,993,1304,1989,2907,5216,10351
