size,image_quality,1,2,4,8,16,32
14400,160x90,280,297,422,554,666,784
19200,160x120,280,360,445,546,689,792
25344,176x144,296,374,508,631,716,1006
43200,240x180,357,476,579,644,850,1276
57600,320x180,419,523,608,742,1002,1176
76800,320x240,454,546,624,780,1140,1395
129600,480x270,524,614,698,915,1043,1735
172800,480x360,557,653,732,915,1421,1536
230400,640x360,623,759,752,1083,1298,2149
307200,640x480,606,801,1016,1164,1625,2601
360000,800x450,680,808,878,1412,2238,2963
480000,800x600,670,820,1388,1192,2343,3431
655360,1024x640,776,936,1263,1704,3298,3990
786432,1024x768,785,973,1685,1799,2597,5046
921600,1280x720,855,955,1651,1851,3485,5714
1024000,1280x800,821,1126,1644,2460,3074,5789
1228800,1280x960,918,1163,1711,2325,3751,6925
