size,image_quality,1,2,4,8,16,32
14400,160x90,0,1,1,2,3,7
16000,160x100,0,1,1,2,3,577
19200,160x120,0,1,1,2,4,8
43200,240x180,1,1,2,3,10,15
57600,320x180,1,1,2,5,10,15
64000,320x200,1,438,3,9,11,270
76800,320x240,1,1,3,6,932,20
129600,480x270,1,2,5,10,17,474
144000,480x300,1,2,6,14,17,34
172800,480x360,2,4,10,16,31,44
230400,640x360,2,5,9,16,30,66
256000,640x400,2,7,10,21,31,71
307200,640x480,3,7,13,24,44,74
360000,800x450,4,9,18,32,48,78
400000,800x500,5,7,15,31,58,105
480000,800x600,6,11,18,28,62,1180
589824,1024x576,325,13,22,51,71,125
655360,1024x640,7,14,23,39,76,139
786432,1024x768,11,19,24,52,101,194
921600,1280x720,11,16,29,56,119,411
1024000,1280x800,12,215,212,64,110,224
1228800,1280x960,16,21,50,583,155,292
1296000,1440x900,14,23,37,76,132,1700
1555200,1440x1080,502,28,525,84,213,780
2073600,1920x1080,21,29,66,136,237,637
