size,image_quality,1,2,4,8,16,32
14400,160x90,0,0,1,1,2,5
16000,160x100,0,0,1,1,2,5
19200,160x120,0,1,1,1,3,5
43200,240x180,0,1,1,2,4,8
57600,320x180,0,1,1,2,5,14
64000,320x200,0,1,1,3,6,12
76800,320x240,0,1,2,3,6,16
129600,480x270,1,2,2,5,12,29
144000,480x300,1,1,3,6,15,34
172800,480x360,1,2,3,7,19,35
230400,640x360,1,2,5,13,27,59
256000,640x400,1,3,5,12,30,64
307200,640x480,1,3,7,17,37,82
360000,800x450,2,3,11,25,49,104
400000,800x500,2,4,12,26,50,113
480000,800x600,2,4,14,32,70,129
589824,1024x576,3,7,18,45,82,373
655360,1024x640,3,8,19,43,90,374
786432,1024x768,4,12,28,64,124,346
921600,1280x720,6,12,33,69,137,400
1024000,1280x800,6,14,37,80,321,525
1228800,1280x960,9,20,44,97,390,1150
1296000,1440x900,9,22,47,103,360,1176
1555200,1440x1080,13,26,57,122,346,1948
2073600,1920x1080,18,51,76,246,575,2171
