size,image_quality,1,2,4,8,16,32
14400,160x90,0,1,1,2,2,6
16000,160x100,0,0,1,1,2,8
19200,160x120,0,0,1,1,4,8
43200,240x180,0,1,1,2,6,16
57600,320x180,0,1,2,4,11,27
64000,320x200,1,1,2,3,12,30
76800,320x240,0,1,1,3,16,38
129600,480x270,1,1,3,9,32,72
144000,480x300,1,2,3,13,32,70
172800,480x360,1,2,4,15,48,86
230400,640x360,1,2,9,25,50,120
256000,640x400,1,2,14,32,64,146
307200,640x480,1,3,15,36,83,147
360000,800x450,3,7,17,38,96,174
400000,800x500,3,8,24,48,103,193
480000,800x600,3,9,28,63,114,225
589824,1024x576,2,13,37,73,152,291
655360,1024x640,3,17,43,83,158,349
786432,1024x768,10,23,50,101,217,408
921600,1280x720,11,28,53,113,253,548
1024000,1280x800,12,31,62,142,294,581
1228800,1280x960,18,40,87,164,381,828
1296000,1440x900,18,40,91,166,382,1222
1555200,1440x1080,27,45,106,199,376,1430
2073600,1920x1080,31,74,143,271,695,2120
