size,image_quality,1,2,4,8,16,32
14400,160x90,2253,4502,9006,18037,36071,72206
16000,160x100,2207,4422,8876,17774,35422,70879
19200,160x120,1842,3607,7223,14473,29509,57814
43200,240x180,1863,3718,7435,14886,29757,59533
57600,320x180,2250,4497,9020,18002,35996,72062
64000,320x200,2218,4435,8903,17819,35532,71339
76800,320x240,1862,3679,7353,14743,29847,58732
129600,480x270,2260,4529,9052,18208,36233,72504
144000,480x300,2221,4439,8891,17772,35528,71089
172800,480x360,1808,3672,7329,14673,29420,58785
230400,640x360,2259,4511,9011,18063,36110,72226
256000,640x400,2224,4450,8919,17836,35680,71180
307200,640x480,1810,3619,7249,14529,28989,57987
360000,800x450,2261,4501,9035,18108,36198,72436
400000,800x500,2217,4440,8881,17758,35465,70997
480000,800x600,1839,3637,7271,14491,29473,57954
589824,1024x576,2259,4533,9046,18081,36271,72402
655360,1024x640,2217,4436,8882,17840,35508,71095
786432,1024x768,1861,3677,7355,14799,29803,58843
921600,1280x720,2255,4519,8887,17848,36184,72303
1024000,1280x800,2228,4454,8918,17835,35598,71531
1228800,1280x960,1876,3740,7482,14942,29968,59962
1296000,1440x900,2229,4442,8879,17804,35638,71110
1555200,1440x1080,1812,3641,7257,14510,29036,58080
2073600,1920x1080,2278,4546,9098,18164,36380,72817
