size,image_quality,1,2,4,8,16,32
14400,160x90,11,11,14,19,25,39
16000,160x100,11,12,15,23,28,42
19200,160x120,11,12,16,24,32,48
43200,240x180,13,19,20,33,40,64
57600,320x180,15,20,27,40,56,92
64000,320x200,16,20,26,41,58,90
76800,320x240,17,23,28,43,66,108
129600,480x270,23,30,42,69,103,181
144000,480x300,21,34,43,63,105,182
172800,480x360,27,35,58,90,146,255
230400,640x360,32,41,70,112,194,357
256000,640x400,29,49,73,128,210,383
307200,640x480,35,55,80,143,244,427
360000,800x450,39,59,93,164,288,533
400000,800x500,40,74,100,175,313,642
480000,800x600,44,72,114,196,367,733
589824,1024x576,44,84,135,222,444,945
655360,1024x640,58,89,159,290,541,924
786432,1024x768,67,104,172,310,592,1251
921600,1280x720,63,103,180,339,602,1219
1024000,1280x800,71,117,206,402,695,1386
1228800,1280x960,84,131,238,498,957,1751
1296000,1440x900,84,138,245,436,966,1786
1555200,1440x1080,106,183,320,2820,1287,4472
2073600,1920x1080,115,204,399,712,1496,3814
