size,image_quality,1,2,4,8,16,32
14400,160x90,18,36,36,53,72,152
19200,160x120,35,26,36,65,97,171
25344,176x144,213,30,38,69,342,287
43200,240x180,25,37,59,102,164,263
57600,320x180,32,54,77,115,221,1007
76800,320x240,388,64,89,145,542,743
129600,480x270,162,93,172,203,2128,831
172800,480x360,71,98,174,380,710,2020
230400,640x360,86,139,1625,3052,605,2324
307200,640x480,91,147,296,1019,806,2935
360000,800x450,108,178,275,1753,1019,3887
480000,800x600,135,232,949,2538,1125,3039
655360,1024x640,842,272,441,908,3048,5249
786432,1024x768,198,334,1089,3409,6484,4489
921600,1280x720,233,335,4386,4316,6348,4887
1024000,1280x800,253,361,2169,1205,6911,6732
1228800,1280x960,252,461,1130,3547,6750,5991
