size,image_quality,1,2,4,8,16,32
14400,160x90,0,1,1,2,3,7
19200,160x120,0,1,1,2,4,10
25344,176x144,0,1,1,479,4,1003
43200,240x180,1,1,2,701,8,18
57600,320x180,1,1,4,5,17,509
76800,320x240,1,1,3,689,533,21
129600,480x270,1,2,5,9,16,442
172800,480x360,2,3,10,13,27,42
230400,640x360,2,5,12,474,39,52
307200,640x480,3,8,14,244,36,84
360000,800x450,4,216,16,29,43,94
480000,800x600,6,11,19,33,59,512
655360,1024x640,7,16,22,37,70,166
786432,1024x768,8,14,25,58,85,1602
921600,1280x720,451,16,35,755,111,202
1024000,1280x800,10,20,31,77,104,228
1228800,1280x960,12,23,41,767,141,1128
