size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32
11,11kb,216,339,523,794,1687,3285,,11,11kb,153,242,398,670,1512,3067,,11,11kb,619,1183,1687,3054,11716,14601,,11,11kb,324,557,964,1694,3916,8151,,11,11kb,261,460,839,1570,3741,7933,,11,11kb,663,1167,1888,3928,10010,17251,,11,11kb,2390,4704,9258,18268,36431,72488,,11,11kb,2327,4607,9133,18144,36256,72270,,11,11kb,5171,10313,21256,41574,83738,169132
13,13kb,277,340,527,858,1666,3303,,13,13kb,182,244,401,706,1473,3088,,13,13kb,650,1223,1706,3112,11671,14606,,13,13kb,384,558,968,1757,3902,8161,,13,13kb,289,462,842,1605,3709,7946,,13,13kb,615,1124,1859,3940,10074,17271,,13,13kb,2454,4703,9280,18365,36466,72516,,13,13kb,2359,4607,9154,18213,36273,72301,,13,13kb,4942,10396,21289,42595,83673,169017
19,19kb,278,341,533,872,1741,3343,,19,19kb,186,245,405,716,1524,3115,,19,19kb,697,1125,1660,3104,11639,14568,,19,19kb,385,559,974,1771,3958,8207,,19,19kb,293,463,846,1615,3741,7979,,19,19kb,606,1174,1830,3828,10054,17679,,19,19kb,2455,4714,9302,18396,36547,72712,,19,19kb,2363,4618,9174,18240,36330,72484,,19,19kb,5049,10441,20784,41828,83448,167650
25,25kb,279,407,596,936,1756,3372,,25,25kb,186,280,438,750,1554,3101,,25,25kb,702,1286,1695,3155,11682,14569,,25,25kb,386,626,1038,1834,3986,8245,,25,25kb,293,499,880,1648,3784,7974,,25,25kb,567,1175,1927,3911,10005,17319,,25,25kb,2458,4779,9365,18470,36607,72836,,25,25kb,2365,4652,9207,18284,36405,72565,,25,25kb,4926,10551,21108,41711,84368,166471
31,31kb,278,405,598,946,1750,3386,,31,31kb,186,281,443,755,1524,3110,,31,31kb,735,1245,1726,3200,11680,14591,,31,31kb,386,624,1040,1848,3990,8258,,31,31kb,294,500,885,1657,3764,7982,,31,31kb,601,1170,1938,3930,10066,17328,,31,31kb,2468,4787,9379,18494,36634,72922,,31,31kb,2376,4663,9224,18303,36408,72646,,31,31kb,4969,10391,21140,42461,83268,167429
70,70kb,362,506,790,1184,2167,3945,,70,70kb,237,353,584,960,1935,3847,,70,70kb,666,1159,1808,3363,10652,12688,,70,70kb,455,695,1171,1964,4146,8337,,70,70kb,330,542,965,1740,3914,8239,,70,70kb,535,1140,1858,4446,10610,17797,,70,70kb,2526,4853,9507,18604,36752,72916,,70,70kb,2401,4700,9301,18380,36520,72818,,70,70kb,5034,9907,20585,42375,84164,167632
83,83kb,361,566,797,1242,2124,3916,,83,83kb,242,385,606,984,2033,3943,,83,83kb,714,1314,1732,3396,10627,12630,,83,83kb,453,755,1179,2019,4113,8313,,83,83kb,334,574,988,1761,4022,8340,,83,83kb,577,1132,1894,4392,10618,17711,,83,83kb,2529,4917,9521,18701,36798,72952,,83,83kb,2410,4736,9330,18443,36707,72979,,83,83kb,5007,10478,21041,41558,83445,169438
120,120kb,433,631,837,1254,2124,4069,,120,120kb,276,402,631,1099,2081,4094,,120,120kb,759,1285,1815,3422,10612,12529,,120,120kb,526,819,1217,2032,4124,8452,,120,120kb,369,590,1011,1877,4081,8477,,120,120kb,567,1133,1887,4548,10662,17876,,120,120kb,2606,4992,9572,18728,36889,73315,,120,120kb,2449,4763,9366,18573,36846,73340,,120,120kb,5115,10246,21001,42284,83665,170547
168,168kb,503,640,860,1406,2169,4076,,168,168kb,314,453,691,1197,2166,4263,,168,168kb,686,1183,1806,3396,10515,12461,,168,168kb,595,829,1242,2182,4151,8453,,168,168kb,406,642,1073,1973,4148,8640,,168,168kb,563,1113,1849,4495,10586,17850,,168,168kb,2673,4996,9599,18883,36869,73224,,168,168kb,2484,4809,9430,18674,36866,73411,,168,168kb,5147,10285,21107,42420,83411,168483
218,218kb,513,695,864,1308,2225,4145,,218,218kb,322,475,721,1168,2376,3905,,218,218kb,712,1220,1746,3392,10466,12338,,218,218kb,605,883,1245,2084,4213,8524,,218,218kb,414,663,1102,1944,4364,8284,,218,218kb,612,1104,1920,4464,10579,17866,,218,218kb,2679,5054,9596,18751,36891,73326,,218,218kb,2488,4834,9453,18611,37042,73086,,218,218kb,5027,10102,21200,42432,83272,167245
