size,image_quality,1,2,4,8,16,32
14400,160x90,152,162,233,293,351,356
19200,160x120,155,197,253,322,355,564
25344,176x144,157,206,297,362,543,787
43200,240x180,197,259,322,424,631,844
57600,320x180,235,282,312,512,689,607
76800,320x240,251,339,415,576,835,1115
129600,480x270,336,390,554,781,1118,1381
172800,480x360,328,422,612,788,901,1355
230400,640x360,358,535,708,462,1397,1735
307200,640x480,422,497,816,1030,1395,1819
360000,800x450,486,658,750,1213,1579,2014
480000,800x600,559,713,1006,1244,1787,2306
655360,1024x640,562,827,1089,1503,1937,2714
786432,1024x768,644,899,1182,1835,2236,2968
921600,1280x720,696,958,1176,1707,1863,3031
1024000,1280x800,498,1132,1303,1809,2460,3375
1228800,1280x960,812,1244,1510,1940,2576,3844
