size,image_quality,1,2,4,8,16,32
14400,160x90,154,161,236,304,333,438
16000,160x100,155,170,241,293,371,420
19200,160x120,156,197,252,323,342,467
43200,240x180,198,278,331,391,443,869
57600,320x180,237,293,328,439,547,767
64000,320x200,238,300,367,497,653,742
76800,320x240,261,321,380,481,628,833
129600,480x270,298,370,465,607,963,1204
144000,480x300,329,393,588,692,962,1285
172800,480x360,345,390,504,942,1116,1353
230400,640x360,370,409,588,841,1164,1431
256000,640x400,388,497,678,779,1118,1682
307200,640x480,400,541,755,993,1263,2126
360000,800x450,435,613,774,1035,1669,2397
400000,800x500,445,673,738,1146,1468,2205
480000,800x600,494,629,759,1190,1654,3362
589824,1024x576,533,703,807,1369,2078,3868
655360,1024x640,459,734,971,1448,2321,3982
786432,1024x768,522,782,1302,1664,2619,5110
921600,1280x720,620,718,1160,1767,3209,5686
1024000,1280x800,717,665,1205,1979,3657,6162
1228800,1280x960,654,1037,1025,1649,4005,8138
1296000,1440x900,707,887,1317,1597,4148,8391
1555200,1440x1080,790,1028,1552,2284,4554,10642
2073600,1920x1080,936,1221,1882,3206,5875,14190
