resolution,original,Nearest_0.7,Linear_0.7,Cubic_0.7,Area_0.7,Lanczos4_0.7
160x90,42.24,20.72,20.72,20.72,20.72,20.72
160x100,46.93,23.02,23.02,23.02,23.02,23.02
160x120,56.3,27.62,27.62,27.62,27.62,27.62
240x180,126.62,62.07,62.07,62.07,62.07,62.07
320x180,168.8,82.74,82.74,82.74,82.74,82.74
320x200,187.55,91.93,91.93,91.93,91.93,91.93
320x240,225.05,110.3,110.3,110.3,110.3,110.3
480x270,379.74,186.1,186.1,186.1,186.1,186.1
480x300,421.93,206.77,206.77,206.77,206.77,206.77
480x360,506.3,248.12,248.12,248.12,248.12,248.12
640x360,675.05,330.8,330.8,330.8,330.8,330.8
640x400,750.05,367.55,367.55,367.55,367.55,367.55
640x480,900.05,441.05,441.05,441.05,441.05,441.05
800x450,1054.74,516.85,516.85,516.85,516.85,516.85
800x500,1171.93,574.27,574.27,574.27,574.27,574.27
800x600,1406.3,689.12,689.12,689.12,689.12,689.12
1024x576,1728.05,846.98,846.98,846.98,846.98,846.98
1024x640,1920.05,941.55,941.55,941.55,941.55,941.55
1024x768,2304.05,1130.69,1130.69,1130.69,1130.69,1130.69
1280x720,2700.05,1323.05,1323.05,1323.05,1323.05,1323.05
1280x800,3000.05,1470.05,1470.05,1470.05,1470.05,1470.05
1280x960,3600.05,1764.05,1764.05,1764.05,1764.05,1764.05
1440x900,3796.93,1860.52,1860.52,1860.52,1860.52,1860.52
1440x1080,4556.3,2232.62,2232.62,2232.62,2232.62,2232.62
1920x1080,6075.05,2976.8,2976.8,2976.8,2976.8,2976.8
